Unnamed: 0.1,Unnamed: 0,index,table_id,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact,code,code_output
0,0,0,table_csv/200_45.csv,['who are all of the mayors?'],"```python
# Define the table including the header
table = [
    [""#"", ""Office"", ""Current Officer"", ""May succeed to Governorship"", ""May serve as Emergency Interim Successor""],
    [1, ""Lieutenant Governor of New Mexico"", ""John Sanchez"", """", """"],
    [2, ""Secretary of State of New Mexico"", ""Dianna Duran"", """", """"],
    [3, ""President Pro Tempore of the Senate"", ""Mary Kay Papen"", """", """"],
    [4, ""Speaker of the House of Representatives"", ""W. Ken Martinez"", """", """"],
    [4, ""Attorney General of New Mexico"", ""Gary King"", """", """"],
    [5, ""State Auditor"", ""Hector Balderas"", """", """"],
    [6, ""State Treasurer"", ""James B. Lewis"", """", """"],
    [7, ""Commissioner of Public Lands"", ""Ray Powell"", """", """"],
    [8, ""Public Regulation Commission, Chair"", ""Patrick Lyons"", """", """"],
    [9, ""Public Regulation Commissioner"", ""Karen Montoya"", """", """"],
    [10, ""Public Regulation Commissioner"", ""Valerie Espinoza"", """", """"],
    [11, ""Public Regulation Commissioner"", ""Theresa Becenti-Aguilar"", """", """"],
    [12, ""Public Regulation Commissioner"", ""Ben Hall"", """", """"]
]

# Find all rows with ""Mayor"" in the ""Office"" column
mayors = [row[1] for row in table[1:] if ""Mayor"" in row[1]]

# Save the result in the ans variable
ans = mayors

# Print the ans
print(ans)
# Done
```","[""['', 'Susana Martinez', 'John Sanchez', 'Dianna Duran', 'Mary Kay Papen', 'W. Ken Martinez', '', 'Gary King', 'Hector Balderas', 'James B. Lewis', 'Ray Powell', 'Patrick Lyons', 'Karen Montoya', 'Valerie Espinoza', 'Theresa Becenti-Aguilar', 'Ben Hall']""]",,"[['', 'susana martinez', 'john sanchez', 'dianna duran', 'mary kay papen', 'w. ken martinez', '', 'gary king', 'hector balderas', 'james b. lewis', 'ray powell', 'patrick lyons', 'karen montoya', 'valerie espinoza', 'theresa becenti-aguilar', 'ben hall']]",not enough information provided,0.0,0.0,True,"[]
"
1,1,1,table_csv/201_8.csv,"['of these two, which has 183 amphibians?']","```python
# Define the table including the header
table = [
    [""Country"", ""Amphibians"", ""Birds"", ""Mammals"", ""Reptile"", ""Total terrestrial vertebrates"", ""Vascular plants"", ""Biodiversity""],
    [""Belize"", 46, 544, 147, 140, 877, 2894, 3771],
    [""Costa Rica"", 183, 838, 232, 258, 1511, 12119, 13630],
    [""El Salvador"", 30, 434, 137, 106, 707, 2911, 3618],
    [""Guatemala"", 133, 684, 193, 236, 1246, 8681, 9927],
    [""Honduras"", 101, 699, 201, 213, 1214, 5680, 6894],
    [""Nicaragua"", 61, 632, 181, 178, 1052, 7590, 8642],
    [""Panama"", 182, 904, 241, 242, 1569, 9915, 11484]
]

# Find the country with 183 amphibians
for row in table[1:]:
    if row[1] == 183:
        ans = row[0]
        break

# Print the ans
print(ans)
# Done
```","[""['Costa Rica']""]",,[['costa rica']],costa rica,100.0,100.0,True,"Costa Rica
"
2,2,2,table_csv/202_175.csv,"['now, which church name differs from its parish name?']","```python
# Define the table including the header
table = [
    [""Parish"", ""Church name"", ""Location"", ""Year built""],
    [""Alstadhaug"", ""Alstadhaug Church"", ""Alstadhaug"", 1180],
    [""Ekne"", ""Ekne Church"", ""Ekne"", 1893],
    [""Levanger"", ""Levanger Church"", ""Levanger"", 1902],
    [""Levanger"", ""Bamberg Church"", ""Levanger"", 1998],
    [""Markabygd"", ""Markabygda Church"", ""Markabygd"", 1887],
    [""Okkenhaug"", ""Okkenhaug Chapel"", ""Okkenhaug"", 1893],
    [""Ytteroy"", ""Ytteroy Church"", ""Ytteroya"", 1890],
    [""Asen"", ""Asen Church"", ""Asen"", 1904]
]

# Filter the churches where the name differs from the parish
different_names = [row[1] for row in table[1:] if row[0] != row[1]]

# Save the result in the ans variable
ans = different_names

# Print the ans
print(ans)
# Done
```","[""['Bamberg Church']""]",,[['bamberg church']],bamberg church,100.0,100.0,True,"['Alstadhaug Church', 'Ekne Church', 'Levanger Church', 'Bamberg Church', 'Markabygda Church', 'Okkenhaug Chapel', 'Ytteroy Church', 'Asen Church']
"
3,3,3,table_csv/202_223.csv,"['what were the poplulations of the bulgarians in romania through the years?', 'what was the population in 1940?', 'what about just during 1940?']","```python
# Define the table including the header
table = [
  [""Source"", ""Date"", ""Population Romania"", ""Population Serbia"", ""Notes""],
  [""Jozu Rill"", 1864, ""30,000-35,000"", ""30,000-35,000"", ''],
  [""Hungarian statistics"", 1880, 18298, 18298, ''],
  [""Hungarian statistics"", 1900, 19944, 19944, ''],
  [""Hungarian statistics"", 1910, 13536, 13536, ""evidently underestimated""],
  [""Various authors"", ""second half of the 19th century"", ""22,000-26,000"", ""22,000-26,000"", ""sometimes including the Krashovani""],
  [""Romanian census"", 1930, 10012, '', ""Romanian Banat only""],
  [""Dimo Kazasov"", 1936, '', 3200, ""Serbian Banat only; estimated""],
  [""Romanian census"", 1939, 9951, '', ""Romanian Banat only""],
  [""Karol Telbizov"", 1940, 12000, '', ""Romanian Banat only; estimated""],
  [""Mihail Georgiev"", 1942, '', ""up to 4,500"", ""Serbian Banat only; estimated""],
  [""Romanian census"", 1956, 12040, '', ""Romania only""],
  [""Yugoslav census"", 1971, '', 3745, ""Serbian Banat only""],
  [""Romanian census"", 1977, 9267, '', ""Romania only""],
  [""Romanian census"", 2002, 6486, '', ""Romania only""],
  [""Serbian census"", 2002, '', 1658, ""Serbia only""]
]

# Filter for the year 1940
population_1940 = [row[2] for row in table if row[1] == 1940]

# Save the result in the ans variable
ans = population_1940

# Print the ans
print(ans)
# Done
```","[""['30,000-35,000', '18,298', '19,944', '13,536', '22,000-26,000', '10,012', '9,951', '12,000', '12,040', '9,267', '6,486']"", ""['12,000']"", ""['12,000']""]",,"[['30,000-35,000', '18,298', '19,944', '13,536', '22,000-26,000', '10,012', '9,951', '12,000', '12,040', '9,267', '6,486'], ['12,000'], ['12,000']]",12000,14.285714285714288,0.0,True,"[12000]
"
4,4,4,table_csv/202_258.csv,"['what was the population of each continent in 1975?', 'what was the population of each continent in 1985?', 'which has the highest growth rates 1975-1985?']","```python
# Define the table including the header
table = [
    ["""", 1980, 1975, 1975, 1985, 1985],
    [""World"", 4434682000, 366573000, 366573000, 396297000, 396297000],
    [""Africa"", 469618000, 61458000, 61458000, 72196000, 72196000],
    [""Asia"", 2632335000, 234823000, 234823000, 255217000, 255217000],
    [""Europe"", 692431000, 16889000, 16889000, 13578000, 13578000],
    [""Latin-America & Caribbean"", 361401000, 39495000, 39495000, 40068000, 40068000],
    [""North America"", 256068000, 12643000, 12643000, 13388000, 13388000],
    [""Oceania"", 22828000, 1264000, 1264000, 1850000, 1850000]
]

# Question 1
population_1975 = {}
for row in table[1:]:
    population_1975[row[0]] = row[2]
# Save the result in the ans variable
ans = population_1975
# Print the ans
print(ans)

# Question 2
population_1985 = {}
for row in table[1:]:
    population_1985[row[0]] = row[4]
# Save the result in the ans variable
ans = population_1985
# Print the ans
print(ans)

# Question 3
growth_rates = {}
for row in table[1:]:
    growth_rate = (row[4] - row[2]) / row[2] * 100
    growth_rates[row[0]] = growth_rate
# Save the result in the ans variable
ans = growth_rates
# Print the ans
print(ans)
# Done
```","[""['Africa', '61,458,000', 'Asia', '234,823,000', 'Europe', '16,889,000', 'Latin-America & Caribbean', '39,495,000', 'North America', '12,643,000']"", ""['Africa', '72,196,000', 'Asia', '255,217,000', 'Europe', '13,578,000', 'Latin-America & Caribbean', '40,068,000', 'North America', '13,388,000']"", ""['Asia']""]",,"[['africa', '61,458,000', 'asia', '234,823,000', 'europe', '16,889,000', 'latin-america & caribbean', '39,495,000', 'north america', '12,643,000'], ['africa', '72,196,000', 'asia', '255,217,000', 'europe', '13,578,000', 'latin-america & caribbean', '40,068,000', 'north america', '13,388,000'], ['asia']]","{'africa': 61458000, 'asia': 234823000, 'europe': 16889000, 'latin-america & caribbean': 39495000, 'north america': 12643000, 'oceania': 1264000}{'africa': 72196000, 'asia': 255217000, 'europe': 13578000, 'latin-america & caribbean': 40068000, 'north america': 13388000, 'oceania': 1850000}africa, asia, oceania",88.8888888888889,0.0,True,"{'World': 366573000, 'Africa': 61458000, 'Asia': 234823000, 'Europe': 16889000, 'Latin-America & Caribbean': 39495000, 'North America': 12643000, 'Oceania': 1264000}
{'World': 396297000, 'Africa': 72196000, 'Asia': 255217000, 'Europe': 13578000, 'Latin-America & Caribbean': 40068000, 'North America': 13388000, 'Oceania': 1850000}
{'World': 8.108616837573962, 'Africa': 17.472094763903804, 'Asia': 8.684839219326896, 'Europe': -19.604476286340223, 'Latin-America & Caribbean': 1.4508165590581086, 'North America': 5.892588784307522, 'Oceania': 46.360759493670884}
"
5,5,5,table_csv/202_264.csv,['which dates were formed in march?'],"```python
# Define the table including the header
table = [
  [""Name"", ""Location"", ""Date Formed"", ""Area"", ""Description""],
  [""Assateague Island"", ""Maryland, Virginia 38deg05'N 75deg13'W / 38.08degN 75.21degW"", ""September 21, 1965"", ""39,726.75 acres (160.8 km2)"", ""As a barrier island, Assateague Island is continually shaped by wind and waves. It is known for its feral horses and is also home to deer, crabs, fox, and migrating snow geese. Main vegetation includes American beach grass, saltmarsh cordgrass and sea rocket.""],
  [""Canaveral"", ""Florida 28deg46'N 80deg47'W / 28.77degN 80.78degW"", ""January 3, 1975"", ""57,661.69 acres (233.3 km2)"", ""Adjacent to the Kennedy Space Center, this barrier island has a variety of recreational activities including hiking, boating, and fishing. The Seminole Rest features an ancient Native American mound, and Eldora Statehouse shows historic life on the lagoon. Florida's longest undeveloped Atlantic beach surrounds Mosquito Lagoon, which is home to dolphins, manatees, and sea turtles, along with a variety of sea grasses.""],
  [""Cape Cod"", ""Massachusetts 41deg57'N 70deg00'W / 41.95degN 70.00degW"", ""August 7, 1961"", ""43,608.48 acres (176.5 km2)"", ""Beyond its nearly 40 miles of beaches, this historic area has Marconi Station, the Three Sisters Lighthouses, and the former North Truro Air Force Station. Cranberry bogs, marshes, and hiking trails provide a look into the flora and fauna of Cape Cod.""],
  [""Cape Hatteras"", ""North Carolina 35deg18'N 75deg31'W / 35.30degN 75.51degW"", ""January 12, 1953"", ""30,350.65 acres (122.8 km2)"", ""Located in the Outer Banks, Cape Hatteras is known for its Bodie Island and Cape Hatteras Lighthouses. Popular recreation activities include windsurfing, birdwatching, fishing, shell collecting, and kayaking. Constantly changing from ocean activity, this barrier island provides refuge for the endangered piping plover, seabeach amaranth, and sea turtles.""],
  [""Cape Lookout"", ""North Carolina 34deg37'N 76deg32'W / 34.61degN 76.54degW"", ""March 10, 1966"", ""28,243.36 acres (114.3 km2)"", ""Cape Lookout National Seashore is made up of three islands of the Outer Banks. It is known for its wild horses and the Cape Lookout Lighthouse. Hiking, camping, fishing, and birdwatching are popular recreational activities. It is also home to two historic villages.""],
  [""Cumberland Island"", ""Georgia 30deg50'N 81deg27'W / 30.83degN 81.45degW"", ""October 23, 1972"", ""36,415.13 acres (147.4 km2)"", ""Cumberland Island is the site of the Plum Orchard estate, Thomas Carnegie's ruined Dungeness mansion, and an African Baptist church. The museum on the mainland preserves Timucua Indian history, Nathaniel Green and Eli Whitney's works, and War of 1812 battles.""],
  [""Fire Island"", ""New York 40deg42'N 72deg59'W / 40.70degN 72.98degW"", ""September 11, 1964"", ""19,579.47 acres (79.2 km2)"", ""Fire Island, a barrier island south of Long Island, has the historic William Floyd House and Fire Island Lighthouse. The beaches and dunes are complemented by a sunken forest, wetlands, and seventeen communities.""],
  [""Gulf Islands"", ""Florida, Mississippi 30deg22'N 86deg58'W / 30.36degN 86.97degW"", ""January 8, 1971"", ""137,990.97 acres (558.4 km2)"", ""Seven main islands have four historic forts built by the Spanish, British, and Americans that were used for defense in the Civil War. Apache Indians once lived here, including Geronimo. There are nature trails for wildlife viewing and long beaches for snorkeling, biking, and other activities.""],
  [""Padre Island"", ""Texas 27deg00'N 97deg23'W / 27degN 97.38degW"", ""April 6, 1968"", ""130,434.27 acres (527.8 km2)"", ""Padre Island, the world's longest undeveloped barrier island, is a nesting ground for the Kemp's ridley sea turtle and a migratory site for Least Terns, Brown Pelicans, and Piping Plovers. Malaquite Beach provides a variety of recreational activities, and Novillo Line Camp has the remains of a cattle ranch. The military used part of the island as a bombing range during WWII.""],
  [""Point Reyes"", ""California 38deg00'N 123deg00'W / 38.00degN 123.00degW"", ""October 20, 1972"", ""71,067.78 acres (287.6 km2)"", ""Historic locations on Point Reyes Peninsula include the Point Reyes Lighthouse and Lifeboat Station and a recreated Coast Miwok village. Gray whales can be seen as they migrate near the seashore, and tule elk and elephant seals populate the wilderness area.""]
]

# Filter countries with fewer than 10 bronze medals
dates_formed_in_march = [row[2] for row in table[1:] if ""March"" in row[2]]

# Save the result in the ans variable
ans = dates_formed_in_march

# Print the ans
print(ans)
# Done
```","[""['March 10, 1966']""]",,"[['march 10, 1966']]","['march 10, 1966']",100.0,100.0,True,"['March 10, 1966']
"
6,6,6,table_csv/202_273.csv,['who were the candidates for the manitoba general election of 2007'],"```python
# Define the table including the header
table = [
  [""Party"", ""Candidate"", ""Votes"", ""%"", ""[?]%"", ""Expenditures""],
  [""New Democratic Party"", ""Daryl Reid"", ""4,560"", ""68.74"", ""-0.74"", ""$19,318.05""],
  [""Progressive Conservative"", ""Bryan McLeod"", ""1,470"", ""22.16"", ""+7.76"", ""$2,732.56""],
  [""Liberal"", ""Gerald Basarab"", ""604"", ""9.10"", ""-7.02"", ""$848.80""],
  [""Total valid votes"", ""Total valid votes"", ""6,634"", ""100.00"", """", """"],
  [""Rejected and declined ballots"", ""Rejected and declined ballots"", ""34"", """", """", """"],
  [""Turnout"", ""Turnout"", ""6,668"", ""48.75"", ""+0.21"", """"],
  [""Electors on the lists"", ""Electors on the lists"", ""13,678"", """", """", """"]
]

# Extract candidates from the table
candidates = [row[1] for row in table[1:4]]

# Save the result in the ans variable
ans = candidates

# Print the ans
print(ans)
# Done
```","[""['Daryl Reid', 'Bryan McLeod', 'Gerald Basarab', 'Total valid votes']""]",,"[['daryl reid', 'bryan mcleod', 'gerald basarab', 'total valid votes']]","['daryl reid', 'bryan mcleod', 'gerald basarab']",80.0,0.0,True,"['Daryl Reid', 'Bryan McLeod', 'Gerald Basarab']
"
7,7,7,table_csv/202_86.csv,"['what years was the river trent over the normal flow, causing flooding?', 'of those years, which was the highest?']","```python
# Define the table including the header
table = [
    [""Rank"", ""Date"", ""Level at Trent Bridge m"", ""Level at Trent Bridge ft"", ""Peak Flow m3/s"", ""Peak Flow cfs""],
    [1, ""February 1795"", 24.55, 80.5, 1416, 50000],
    [2, ""October 1875"", 24.38, 80.0, 1274, 45000],
    [3, ""March 1947"", 24.30, 79.7, 1107, 39100],
    [4, ""November 1852"", 24.26, 79.6, 1082, 38200],
    [5, ""November 2000"", 23.80, 78.1, 1019, 36000],
    ["""", ""Normal / Avg flow"", 20.7, 68, 84, 3000]
]

# Extract years when the river was over normal flow
years_over_normal = [row[1] for row in table[0:5] if float(row[2]) > 20.7]

# Find the year with the highest level
highest_level = max([float(row[2]) for row in table[0:5]])
highest_level_year = [row[1] for row in table[0:5] if float(row[2]) == highest_level][0]

# Save the result in the ans variable
ans = [years_over_normal, highest_level_year]

# Print the ans
print(ans)
# Done
```","[""['February 1795', 'October 1875', 'March 1947', 'November 1852', 'November 2000']"", ""['February 1795']""]",,"[['february 1795', 'october 1875', 'march 1947', 'november 1852', 'november 2000'], ['february 1795']]","['february 1795', 'october 1875', 'march 1947', 'november 1852', 'november 2000'], 'february 1795'",100.0,100.0,True,CODE ERROR
8,8,8,table_csv/203_0.csv,['who played in the 1972 summer olympics for israel?'],"```python
# Define the table including the header
table = [
  [""Name"", ""Sport"", ""Event"", ""Placing"", ""Performance""],
  [""Shaul Ladani"", ""Athletics"", ""Men's 50 km walk"", ""19"", ""4:24:38.6 (also entered for 20 km walk, but did not start)""],
  [""Esther Shahamorov"", ""Athletics"", ""Women's 100 m"", ""Semifinal (5th)"", ""11.49""],
  [""Esther Shahamorov"", ""Athletics"", ""Women's 100 m hurdles"", ""Semifinal"", ""Did not start (left Munich before the semifinal)""],
  [""Dan Alon"", ""Fencing"", ""Men's foil"", ""Second round"", ""W5-L5 (1R 3-2, 2R 2-3)""],
  [""Yehuda Weissenstein"", ""Fencing"", ""Men's foil"", ""Second round"", ""W2-L8 (1R 2-3, 2R 0-5)""],
  [""Yair Michaeli"", ""Sailing"", ""Flying Dutchman"", ""23"", ""28-22-22-19-25-19-DNS = 171 pts (left Kiel before 7th race)""],
  [""Itzhak Nir"", ""Sailing"", ""Flying Dutchman"", ""23"", ""28-22-22-19-25-19-DNS = 171 pts (left Kiel before 7th race)""],
  [""Henry Hershkowitz"", ""Shooting"", ""50 metre rifle prone"", ""23"", ""593/600""],
  [""Henry Hershkowitz"", ""Shooting"", ""50 metre rifle three positions"", ""46"", ""1114/1200""],
  [""Zelig Stroch"", ""Shooting"", ""50 metre rifle prone"", ""57"", ""589/600""],
  [""Shlomit Nir"", ""Swimming"", ""Women's 100 m breaststroke"", ""Heats (8th)"", ""1:20.90""],
  [""Shlomit Nir"", ""Swimming"", ""Women's 200 m breaststroke"", ""Heats (6th)"", ""2:53.60""],
  [""David Berger"", ""Weightlifting"", ""Light-heavyweight <82.5 kg"", ""--"", ""J:132.5 C:122.5 S:-- T:--""],
  [""Ze'ev Friedman"", ""Weightlifting"", ""Bantamweight <56 kg"", ""12"", ""J:102.5 C:102.5 S:125 T:330""],
  [""Yossef Romano"", ""Weightlifting"", ""Middleweight <75 kg"", ""--"", ""(retired injured on third attempt to press 137.5kg)""],
  [""Gad Tsobari"", ""Wrestling"", ""Freestyle -- Light Flyweight <48 kg"", ""Group stage"", ""0W-2L""],
  [""Eliezer Halfin"", ""Wrestling"", ""Freestyle -- Lightweight <68 kg"", ""Group stage"", ""1W-2L""],
  [""Mark Slavin"", ""Wrestling"", ""Greco-Roman -- Middleweight <82 kg"", ""--"", ""(taken hostage before his scheduled event)""]
]

# Extract the names from the table
ans = [row[0] for row in table[1:]]

# Print the ans
print(ans)
# Done
```","['[\'Shaul Ladani\', \'Esther Shahamorov\', \'Esther Shahamorov\', \'Dan Alon\', \'Yehuda Weissenstein\', \'Yair Michaeli\', \'Itzhak Nir\', \'Henry Hershkowitz\', \'Henry Hershkowitz\', \'Zelig Stroch\', \'Shlomit Nir\', \'Shlomit Nir\', \'David Berger\', ""Ze\'ev Friedman"", \'Yossef Romano\', \'Gad Tsobari\', \'Eliezer Halfin\', \'Mark Slavin\']']",,"['[\'shaul ladani\', \'esther shahamorov\', \'esther shahamorov\', \'dan alon\', \'yehuda weissenstein\', \'yair michaeli\', \'itzhak nir\', \'henry hershkowitz\', \'henry hershkowitz\', \'zelig stroch\', \'shlomit nir\', \'shlomit nir\', \'david berger\', ze\'ev friedman, \'yossef romano\', \'gad tsobari\', \'eliezer halfin\', \'mark slavin\']']","['shaul ladani', 'esther shahamorov', 'dan alon', 'yehuda weissenstein', 'yair michaeli', 'itzhak nir', 'henry hershkowitz', 'zelig stroch', 'shlomit nir', 'david berger', 'ze'ev friedman', 'yossef romano', 'gad tsobari', 'eliezer halfin', 'mark slavin']",90.9090909090909,0.0,True,"['Shaul Ladani', 'Esther Shahamorov', 'Esther Shahamorov', 'Dan Alon', 'Yehuda Weissenstein', 'Yair Michaeli', 'Itzhak Nir', 'Henry Hershkowitz', 'Henry Hershkowitz', 'Zelig Stroch', 'Shlomit Nir', 'Shlomit Nir', 'David Berger', ""Ze'ev Friedman"", 'Yossef Romano', 'Gad Tsobari', 'Eliezer Halfin', 'Mark Slavin']
"
9,9,9,table_csv/203_103.csv,['which aircraft have 1 year of service'],"```python
# Define the table including the header
table = [
  [""Aircraft"", ""Origin"", ""Type"", ""In service"", ""Notes""],
  [""Aero Commander 500"", ""USA"", ""Light utility transport"", 0, ""3 in service with the Air Wing from 1976 to 1990""],
  [""Beechcraft Super King Air 350"", ""USA"", ""Light transport"", 1, ""in service since 2004""],
  [""Cessna 208 Caravan"", ""USA"", ""Light transport"", 1, ""in service since 2007""],
  [""Cessna 404 Titan"", ""USA"", ""Light transport"", 0, ""1 in service with the Air Wing from 1991 to 2008""],
  [""Cessna 421C Golden Eagle"", ""USA"", ""Light transport"", 0, ""1 in service with the Air Wing from 1988 to 2002""],
  [""Partenvia P.68 Observer"", ""Italy"", ""Light transport aircraft"", 1, ""in service since 2009""],
  [""Piper PA-31 Navajo"", ""USA"", ""Light transport"", 0, ""in service since 1993""]
]

# Filter aircraft with 1 year of service
aircraft_with_1_year_service = [row[0] for row in table[1:] if row[3] == 1]

# Save the result in the ans variable
ans = aircraft_with_1_year_service

# Print the ans
print(ans)
# Done
```","[""['1', '1', '1']""]",,"[['1', '1', '1']]","['beechcraft super king air 350', 'cessna 208 caravan', 'par10via p.68 observer']",0.0,0.0,True,"['Beechcraft Super King Air 350', 'Cessna 208 Caravan', 'Partenvia P.68 Observer']
"
