index,question,answer,response
0,"among the black canadian-born population aged 25 to 59, which group of people had a higher educational attainment for all countries of ancestry considered, and for both postsecondary diplomas as a whole and university diplomas only? women or men?",['women'],"Evidence:
Relevant rows and columns from the table:

| Country of Ancestry | Women - Non-university or university postsecondary diploma | Women - University degree only | Men - Non-university or university postsecondary diploma | Men - University degree only |
|---------------------|----------------------------------------------------------|------------------------------------|----------------------------------------------------------|------------------------------------|
| Jamaica            | 75.5                                                        | 31.3                                | 54.6                                                        | 15.8                               |
| Haiti              | 84.5                                                        | 37.1                                | 65.8                                                        | 18.3                               |
| Trinidad and Tobago | 76.1                                                        | 36.5                                | 61.4                                                        | 20.4                               |
| Barbados           | 79.4                                                        | 39.2                                | 64.4                                                        | 22.8                               |
| Guyana             | 74.8                                                        | 32.5                                | 57.6                                                        | 20.6                               |
| Saint Vincent and the Grenadines | 76.1                                                        | 35.0                                | 58.3                                                        | 17.5                               |
| Grenada            | 78.0                                                        | 34.3                                | 62.0                                                        | 21.4                               |
| Ghana              | 81.7                                                        | 49.8                                | 65.7                                                        | 31.4                               |
| Nigeria            | 86.4                                                        | 63.3                                | 75.3                                                        | 51.5                               |
| United States      | 63.9                                                        | 23.2                                | 49.2                                                        | 17.7                               |
| United Kingdom      | 71.9                                                        | 32.0                                | 53.9                                                        | 22.1                               |
| Canada             | 56.5                                                        | 16.0                                | 44.8                                                        | 11.8                               |

Final Answer: women 
"
1,how many percent of university graduates among second-generation black women who originated from jamaica was higher than that of men in 2016?,[15.5],"Relevant rows and columns from the table:

| Country of ancestry | Women university degree only | Men university degree only |
|---------------------|------------------------------|---------------------------|
| Jamaica             | 31.3                         | 15.8                      |

Final Answer: 15.5 
"
2,"in 2016, which region of ancestry had a higher percentage of second-generation black women with a university degree? second-generation women with other regions of ancestry or women of african ancestry?",['africa'],"Relevant rows and columns from the table:

| Region of ancestry | Women - University degree only |
|-------------------|--------------------------------|
| Africa            | 50.8                            |
| Other regions     | 19.1                            |

Final Answer: Africa 
"
3,how many percent of second-generation women with african ancestry had a university degree in 2016?,[50.8],"Relevant rows and columns from the table:

| Region or country of ancestry | Women - University degree only |
|------------------------------|-------------------------------|
| Africa                        | 50.8                          |

Final Answer: 50.8 
"
4,how many percent of second-generation women with caribbean and latin american ancestry had a university degree in 2016?,[34.8],"Relevant rows and columns from the table:

| Region or country of ancestry | Women University degree only |
|-------------------------------|------------------------------|
| Caribbean and latin america  | 34.8                         |

Final Answer: 34.8 
"
5,how many percent of second-generation women with other regions of ancestry had a university degree in 2016?,[19.1],"Relevant rows and columns from the table:

| Region or country of ancestry | Women - University degree only |
|-------------------------------|-------------------------------|
| Other regions                | 19.1                           |

Final Answer: 19.1 
"
6,which sedentary time has the largest beta coefficients?,['weekend'],"Evidence:
Relevant rows and columns from the table:

| Behaviour | Beta |
|---|---|
| Total | 0.124 |
| Weekday | 0.079 |
| Weekend | 0.170 |

Final Answer: Weekend 
"
7,how many million dollars did for-profit businesses perform in software r&d in 2016?,[120824.0],"Evidence:
Relevant rows and columns from the table:

| Year and Industry | Software R&D |
|-------------------|----------------|
| 2016 | 120824 |

Final Answer: 120.824 
"
8,how many million dollars did total bussiness r&d perform in domestic business r&d in 2016?,[374685.0],"Relevant rows and columns from the table:

| Year and Industry | Total business R&D |
|--------------------|---------------------|
| 2016 | 374685 |

Final Answer: 374.685 
"
9,"over the past 10 years, how many percentage points did software r&d increase annually compound at average growth rate?",[9.6],"Relevant rows and columns from the table:

| Industry        | Annual growth rate (%) |
|-----------------|------------------------|
| All industries | 9.6                    |

Final Answer: 9.6 
"
10,"over the past 10 years, how many percentage points did total business r&d increase annually at compound average growth rate?",[4.2],"Relevant rows and columns from the table:

| Year and Industry | Total business r&d |
|-------------------|----------------------|
| all industries     | 4.2                  |

Final Answer: 4.2 
"
11,which club did lodge play for in 1985-86?,['stockport county'],"Evidence:
Relevant rows and columns from the table:

| Club       | Season     | Division                       |
|------------|------------|---------------------------------|
| Stockport County | 1985-86 | Fourth division                 |

Final Answer: Stockport County 
"
12,how many passing yards did ryan tannehill get in 2018?,[1979.0],"Relevant rows and columns from the table:

| Year | Team | Passing Yds |
|---|---|---|
| 2018 | mia | 1,979 |

Final Answer : 1979 
"
13,which group of people is least likely to have engaged in health risk behaviours such as binge drinking and drug use in the 12 months preceding the sspps?,['heterosexual'],"Evidence:
Relevant rows and columns from the table:

| Health risk behaviours | Heterosexual | Gay or Lesbian | Bisexual | Sexual orientation n.e.c | Total sexual minority |
|-------------------------|-------------|---------------|----------|--------------------------|-----------------------|
| Binge drinking in the past 12 months | 44.1        | 52.7          | 55.3     | 38.3                      | 53.0                    |
| Non-medicinal cannabis use in the past 12 months | 15.3        | 28.5          | 46.3     | 20.8                      | 37.0                    |
| Non-prescribed drug use in the past 12 months | 2.6         | 6.6           | 14.0     | f                        | 10.3                    |

Final Answer: Heterosexual 
"
14,how many percent of heterosexual canadians reported that they had engaged in binge drinking on at least one occasion in the past 12 months?,[44.1],"Relevant rows and columns from the table:

| Health risk behaviours | Heterosexual |
|------------------------|--------------|
| Binge drinking in the past 12 months | 44.1 |

Final Answer : 44.1 
"
15,"how many times of gay or lesbian canadians were more likely as heterosexual canadians to report having used other non-prescribed drugs such as magic mushrooms, cocaine or heroin in the past year?",[2.538462],"Evidence:
Relevant rows and columns from the table:

| Health risk behaviours | Gay or lesbian (percent) | Heterosexual (percent) |
|-----------------------|-------------------------|-------------------------|
| Non-prescribed drug use in the past 12 months | 6.6                     | 2.6                     |

Calculation:
6.6 / 2.6 = 2.54

Final Answer : 2.54 
"
16,how many percent of bisexual canadians have reported that they have used non-prescribed drugs in the past 12 months?,[14.0],"Relevant rows and columns from the table:

| Health risk behaviours | Bisexual |
|-----------------------|----------|
| non-prescribed drug use in the past 12 months | 14.0 |

Final Answer : 14.0
"
17,"how many percent of heterosexual canadians who had experienced abuse or violence in their lifetimes, have reported that they had used alcohol or drugs as a coping mechanism for these experiences?",[10.4],"Evidence:
Relevant rows and columns from the table:

| Health risk behaviours | Heterosexual | 
|---------------------------|----------------|
| Used drugs or alcohol to cope with abuse or violence that occurred in lifetime | 10.4 | 

Final Answer : 10.4
"
18,"how many percent of bisexual canadians who had experienced abuse or violence in their lifetimes, have reported that they had used drugs or alcohol to cope with their lifetime experiences of abuse or violence?",[29.5],"Relevant rows and columns from the table:

| Health risk behaviours | Bisexual |
|-------------------------|----------|
| Used drugs or alcohol to cope with abuse or violence that occurred in lifetime | 29.5 |

Final Answer : 29.5 
"
19,"according to brdis, what was the total number of employees at r&d-performing companies in 2015?",[18913.0],"Evidence:
Relevant rows and columns from the table:

| Year | Total employment for r&d performing companies |
|------|--------------------------------------------|
| 2015 | 18913                                      |

Final Answer : 18913 
"
20,how many million dollars did funding for research and development to universities and colleges increase in 2017?,[29796.0],"The question asks for the increase in funding for research and development to universities and colleges in 2017. To find this, we need to compare the funding for research and development in 2016 and 2017. 

Relevant rows and columns from the table:

| Fiscal Year | R&D (constant fy 2012 $millions) |
|------------|----------------------------------|
| 2016        | 26939                              |
| 2017        | 27635                              |

The increase in funding is calculated as follows:

Increase = Funding in 2017 - Funding in 2016 = 27635 - 26939 = 696

Final Answer: 696 
"
21,"how many percent of the total number of enterprises in canada has increased from 1,028,397 in 2008 to 1,089,136 in 2014?",[5.9],"Relevant rows and columns from the table:

| Year | Total number of enterprises |
|---|---|
| 2008 | 1,028,397 |
| 2014 | 1,089,136 |

To find the percentage increase, we need to calculate the difference in the number of enterprises and divide it by the original number, then multiply by 100.

Percentage increase = (1,089,136 - 1,028,397) / 1,028,397 * 100 = 5.9

Final Answer: 5.9 
"
22,which enterprise size class has the highest share of enterprises in 2008 and in 2014?,['between 1 and 4'],"Relevant rows and columns from the table:

| Enterprise size class | 2008 Share | 2014 Share |
|-----------------------|------------|------------|
| between 1 and 4       | 64.4       | 64.9       |

Final Answer: between 1 and 4 
"
23,how many receiving yards did rex burkhead get in 2016?,[145.0],"Relevant rows and columns from the table:

| Year | Team | Receiving Yards |
|---|---|---|
| 2016 | cin | 145 |

Final Answer: 145 
"
24,how many receving yards did braylon get in 2009?,[541.0],"Relevant rows and columns from the table:

| Season | Team | Rec Yds |
|---|---|---|
| 2009 | Cleveland Browns | 139 |
| 2009 | New York Jets | 541 |

Final Answer: 680 
"
25,which age group of women has the highest surgical rates?,['50 to 69 years'],"Relevant rows and columns from the table:

| Age group |  Percent |
|-----------|---------|
| 19 to 49 years | 90.8 |
| 50 to 69 years | 91.1 |
| 70 years and older | 84.3 |

Final Answer : 50 to 69 years 
"
26,"natural land for pasture is largely found in western canada, what was the percentage of alberta reporting the most amount of natural pasture area in 2011?",[6435825.0],"Relevant rows and columns from the table:

| Province | Natural land for pasture (percent) |
|---|---|
| Alberta | 31.5 |

Final Answer : 31.5 
"
27,"natural land for pasture is largely found in western canada, what was the percentage of manitoba reporting the amount of natural pasture area in 2011?",[1466968.0],"Relevant rows and columns from the table:

| Province | Natural land for pasture | percent |
|---------|--------------------------|--------|
| Manitoba | 1,466,968               | 20.1   |

Final Answer : 20.1 
"
28,"natural land for pasture is largely found in western canada, what was the percentage of british columbia reporting the amount of natural pasture area in 2011?",[1385359.0],"Relevant rows and columns from the table:

| Province | Natural land for pasture | Percent |
|---|---|---|
| British Columbia | 1,385,359 | 53.1 |

Final Answer: 53.1 
"
29,"natural land for pasture is largely found in western canada, what was the percentage of saskatchewan reporting the amount of natural pasture area in 2011?",[4816782.0],"Evidence:
Relevant rows and columns from the table:

| Province | Natural land for pasture (percent) |
|---------|-----------------------------------|
| Saskatchewan | 19.3 |

Final Answer: 19.3
"
30,what was the percentage of agricultural land in the atlantic provinces reported as woodlands and wetlands in 2011?,[42.3],"Relevant rows and columns from the table:

| Province | Woodlands and wetlands | Percent |
|---------|--------------------------|--------|
| Atlantic provinces | 450,031 | 42.3 |

Final Answer : 42.3 
"
31,what was the percentgae of agricultural land in the quebec provinces reported as woodlands and wetlands in 2011?,[31.6],"Relevant rows and columns from the table:

| Province  | Woodlands and wetlands | Percent |
|-----------|-------------------------|--------|
| Quebec    | 1,057,417              | 31.6   |

Final Answer : 31.6 
"
32,what was the percentage of agricultural land in the ontario provinces reported as woodlands and wetlands in 2011?,[12.6],"Relevant rows and columns from the table:

| Province | Woodlands and wetlands (percent) |
|----------|----------------------------------|
| Ontario  | 12.6                             |

Final Answer: 12.6 
"
33,how many hectares did quebec report the area of woodland and wetland in 2011?,[1057417.0],"Relevant rows and columns from the table:

| Province | Woodlands and wetlands |
|---------|-------------------------|
| Quebec   | 1,057,417              |

Final Answer: 1,057,417 
"
34,how many hectares did saskatchewan report the area of woodland and wetland in 2011?,[1009381.0],"Relevant rows and columns from the table:

| Province    | Woodlands and wetlands |
|-------------|------------------------|
| Saskatchewan | 1,009,381             |

Final Answer: 1,009,381 
"
35,how many hectares did alberta report the area of woodland and wetland in 2011?,[893436.0],"Relevant rows and columns from the table:

| Province    | Woodlands and wetlands (hectares) |
|-------------|----------------------------------|
| Alberta     | 893,436                         |

Final Answer: 893,436 
"
36,which age group has the lowest surgical rate?,['70 years and older'],"Relevant rows and columns from the table:

| Age group | Canada Percent | Newfoundland and Labrador Percent | Prince Edward Island Percent | Nova Scotia Percent | New Brunswick Percent | Ontario Percent | Manitoba Percent | Saskatchewan Percent | Alberta Percent | British Columbia Percent | Yukon Percent | Northwest Territories Percent | Nunavut Percent |
|-----------|-----------------|-------------------------------------|-----------------------------------|--------------------|------------------------|-----------------|-------------------|----------------------|-----------------|---------------------------|-----------------|------------------------------|-------------------|
| 19 to 49 years | 94.7             | 100.0                                | 100.0                            | 96.4               | 100.0                     | 94.1              | 90.9               | 98.5                  | 96.7              | 93.5                    | 0.0             | 0.0                          | 0.0              |
| 50 to 69 years | 93.3             | 98.6                                | 80.0                            | 98.8               | 98.6                     | 92.2              | 94.6               | 96.2                  | 94.5              | 92.9                    | 100.0           | 100.0                        | 100.0            |
| 70 years and older | 86.1             | 93.3                                | 100.0                            | 92.9               | 81.1                     | 86.5              | 84.4               | 80.0                  | 85.5              | 83.1                    | 100.0           | 0.0                          | 0.0              |

Final Answer: 70 years and older 
"
37,"what is the percentge of new mothers were in the first situation(with pre-birth-year, birth-year, or post-birth-year roe; and received ei in the birth year)in 2012?",[40.6],"Relevant rows and columns from the table:

| Year | Mothers with pre-birth-year, birth-year, or post-birth-year roe; and received ei in the birth year |
|------|---------------------------------------------------------------------------------------------------|
| 2012 | 40.6                                                                                                  |

Final Answer: 40.6
"
38,"what is the percentge of new mothers were in the second situation(with pre-birth-year, birth-year, or post-birth-year roe; and received ei after the birth year)in 2012?",[2.8],"Relevant rows and columns from the table:

| Year | Mothers with pre-birth-year, birth-year, or post-birth-year roe; and received ei after the child's birth year |
|------|--------------------------------------------------------------------------------------------------------|
| 2012 | 2.8                                                                                                       |

Final Answer: 2.8 
"
39,"what is the percentage of new mothers took parental leave, according to the roe-based definition in 2012?",[43.4],"Relevant rows and columns from the table:

| Year | Mothers with pre-birth-year, birth-year, or post-birth-year roe; and received ei in the birth year |
|------|-----------------------------------------------------------------------------------------------|
| 2012 | 40.6                                                                                             |

Final Answer: 40.6
"
40,what is the percentage of new mothers who received ei benefits in 2012 were issued an roe for temporary leave other than parental leave?,[6.5],"Relevant rows and columns from the table:

| Year | Mothers | No roe for parental leave, received ei, temporary leave |
|------|--------|-----------------------------------------------------|
| 2012 |        | 6.5                                                   |

Final Answer: 6.5 
"
41,what is the percentage of new mothers who received ei benefits in 2012 quit the jobs they held before the leave?,[0.9],"Evidence:
Relevant rows and columns from the table:

| Year | Mothers - no roe for parental leave, received ei, permanently quit |
|------|-----------------------------------------------------------------|
| 2012 | 0.9                                                              |

Final Answer: 0.9
"
