,Unnamed: 0.1,Unnamed: 0,index,table_id,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
0,0,0,0,Phoenix_Coyotes_0,Arizona Coyotes player number 19 played in how many NHL seasons ?,"```json
{
 ""evidence"": ""The relevant row is: \nNo | Player | Position | Career | Date honored\n19 | Shane Doan | RW | 1996-2017 | February 24 , 2019"",
 ""answer"": [
  ""Arizona Coyotes player number 19, Shane Doan, played in 21 NHL seasons.""
 ]
}
```",21,"21 
",21.0,21.0,100.0,100.0
1,1,1,1,List_of_Washington_Redskins_players_12,What was the post-secondary school attended by Charley Malone titled at its founding ?,"```json
{
 ""evidence"": ""The relevant row contains information about Charley Malone and his college: \n# | Name | Pos | College | GP | Seasons\n19 | Charley Malone | E | Texas A & M | 84 | 1934-40 , 1942\nMore context: \nTexas A&M University: Texas A & M University ( Texas A & M or A & M ) is a public research university founded in 1876 and located in College Station , Texas . In 1948 , Texas A & M University became the founding member of the Texas A & M University System . As of 2017 [ update ] , Texas A & M 's student body is the largest in Texas and one of the largest in the United States . Texas A & M 's designation as a land , sea , and space grant institution - the only university in Texas to hold all three designations - reflects a range of research with ongoing projects funded by organizations such as the National Aeronautics and Space Administration ( NASA ) , the National Institutes of Health , the National Science Foundation , and the Office of Naval Research . In 2001 , Texas A & M was inducted as a member of the Association of American Universities . The school 's students , alumni - over 500,000 strong - and sports teams are known as Aggies . The Texas A & M Aggies athletes compete in 18 varsity sports as a member of the Southeastern Conference . The first public institution of higher education in Texas , the school opened on October 4 , 1876 , as the Agricultural and Mechanical College of Texas under the provisions of the Morrill Land-Grant Acts . Originally , the college taught no classes in agriculture , instead concentrating on classical studies , languages , literature , and applied mathematics . After four years , students could attain degrees in scientific agriculture , civil and mechanical engineering , and language and literature . Under the leadership of President James Earl Rudder in the 1960s , A.M.C . desegregated , became coeducational , and dropped the requirement for participation in the Corps of Cadets ."",
 ""answer"": [
  ""The school opened on October 4 , 1876 , as the Agricultural and Mechanical College of Texas .""
 ]
}
```",Agricultural and Mechanical College of Texas,"Agricultural and Mechanical College of Texas 
",agricultural and mechanical college of texas,agricultural and mechanical college of texas,100.0,100.0
2,2,2,2,List_of_Methodist_churches_in_the_United_States_7,"What is the name of the church whose city , state 's population was 2,048 in 2010 ?","```json
{
 ""evidence"": ""The relevant rows are:\nChurch | Dates | Location | City , State | Description\nTrinity Methodist Episcopal Church | 1885 built 1978 NRHP-listed | 38°45′13″N 75°40′41″W / 38.75361°N 75.67806°W / 38.75361 ; -75.67806 ( Trinity Methodist Episcopal Church ( Bridgeville , Delaware ) ) | Bridgeville , Delaware | Gothic\nBridgeville, Delaware: Bridgeville is a town in Sussex County , Delaware , United States . According to the 2010 census , the population is 2,048 , an increase of 42.6% from the previous decade . It is part of the Salisbury , Maryland-Delaware Metropolitan Statistical Area ."",
 ""answer"": [
  ""Trinity Methodist Episcopal Church""
 ]
}
```",Trinity Methodist Episcopal Church,"Trinity Methodist Episcopal Church 
",trinity methodist episcopal church,trinity methodist episcopal church,100.0,100.0
3,3,3,3,American_Horse_of_the_Year_0,What was the middle name of the trainer of the 2017 American Horse of the Year ?,"```json
{
 ""evidence"": ""The relevant row contains information about Gun Runner's win in 2017:\nYear | Horse | Trainer | Owner | Age | Sex\n2017 | Gun Runner | Steve Asmussen | Winchell Thoroughbreds LLC & Three Chimneys Farm | 4 | C\nThe text about Steve Asmussen says:\nSteven Mark Asmussen ( born November 18 , 1965 ) is an American Thoroughbred racehorse trainer ."",
 ""answer"": ""The middle name of the trainer of the 2017 American Horse of the Year is Mark.""
}
```",Mark,"Mark 
",mark,mark,100.0,100.0
4,4,4,4,Roger_Crozier_Saving_Grace_Award_1,How many Vezina Trophies did the most recent winner get ?,"evidence: |
  The relevant rows contain information about Dominik Hasek's Vezina Trophy wins:
  Season | Player | Team | Save% | Win #
  1993-94 | Dominik Hasek | Buffalo Sabres | .930 | 1
  1994-95 * | Dominik Hasek | Buffalo Sabres | .930 | 2
  1995-96 | Dominik Hasek | Buffalo Sabres | .920 | 3
  1996-97 | Dominik Hasek | Buffalo Sabres | .930 | 4
  1997-98 | Dominik Hasek | Buffalo Sabres | .932 | 5
  1998-99 | Dominik Hasek | Buffalo Sabres | .937 | 6
answer: |
  The most recent Vezina Trophy winner, Dominik Hasek, won 6 Vezina Trophies. 
",six,"6
",6.0,6.0,100.0,100.0
5,5,5,5,ICOM_Simulations_0,When was the remastered version of the first Sherlock Holmes game released ?,"```json
{
 ""evidence"": ""Sherlock Holmes : Consulting Detective is a full motion video game based on a tabletop game-gamebook hybrid which had the same name . It was originally developed by ICOM Simulations for the FM Towns computer and later ported to DOS , Apple Macintosh , Commodore CDTV , TurboGrafx-CD , Sega CD and Tandy Video Information System with all versions being distributed on CD-ROM . The game was re-released as a DVD for use with a standard DVD player and television in 1999 . A high resolution and re-mastered version of the game for iPad , Microsoft Windows , and OS X was released on September 18 , 2012 ."",
 ""answer"": [
  ""September 18, 2012""
 ]
}
```","September 18 , 2012","September 18, 2012 
","september 18 , 2012","september 18, 2012",100.0,100.0
6,6,6,6,Marie_McDonald_0,Who were the main cast members of the 1942 film in which Marie McDonald played Ferna ?,"```json
{
 ""evidence"": ""The relevant row contains information about the movie *Pardon My Sarong* in which Marie McDonald played the role of Ferna:\nYear | Title | Role\n1942 | Pardon My Sarong | Ferna\nMore context: \n\""Pardon My Sarong\"" : \""Pardon My Sarong is a 1942 comedy film starring Abbott and Costello.\"""",
 ""answer"": [
  ""Abbott"",
  ""Costello""
 ]
}
```",Abbott and Costello,"Abbott, Costello 
",abbott and costello,"abbott, costello",80.0,0.0
7,7,7,7,Grammy_Award_for_Best_Traditional_Gospel_Album_0,The 2003 nominee is inducted into what instrumental organization ?,"```json
{
 ""evidence"": ""The relevant row contains information about Twinkie Clark's nomination in 2003: \nYear | Performing artists | Work | Nominees\n2003 | The Blind Boys of Alabama | Higher Ground | Dorothy Norwood - Live At Home The Canton Spirituals - Walking By Faith Twinkie Clark - Live in Charlotte Various Artists - Bishop T.D . Jakes Presents Woman Thou Art Loosed - Worship 2002\nThe context also provides information about Twinkie Clark: \nElbernita Twinkie Clark ( born November 15 , 1954 ) is an American gospel singer , songwriter , composer , musician , and evangelist . Clark is best known as a member the American gospel singing group The Clark Sisters . In addition to singing , Clark is member of the Hammond Organ Hall of Fame ."",
 ""answer"": [
  ""Twinkie Clark is a member of the Hammond Organ Hall of Fame.""
 ]
}
```",Hammond Organ Hall of Fame,"Hammond Organ Hall of Fame 
",haond organ hall of fame,haond organ hall of fame,100.0,100.0
8,8,8,8,Binaca_Geetmala_annual_list_1970_0,What is the film whose music director died on 4 January 1994 ?,"```json
{
 ""evidence"": ""The relevant row contains information about the film 'Hare Raama Hare Krishna' whose music director is R.D. Burman, who died on 4 January 1994.\nYear | Song | Film | Music Director | Lyricist | Singer ( s )\n1972 | Dum Maro Dum | Hare Raama Hare Krishna | R. D. Burman | Anand Bakshi | Asha Bhosle , Usha Iyer"",
 ""answer"": [
  ""Hare Raama Hare Krishna""
 ]
}
```",Hare Raama Hare Krishna,"Hare Raama Hare Krishna 
",hare raama hare krishna,hare raama hare krishna,100.0,100.0
9,9,9,9,List_of_Malaysian_football_transfers_2014_36,What position ( s ) moved to the club that was founded in 1963 and currently suspended from FIFA ?,"```json
{
 ""evidence"": ""The relevant row contains information about Mohd Fitri Jamaluddin moving to Perlis FA:\nPosition | Player | To club | Fee\nDefender | Mohd Fitri Jamaluddin | Perlis FA | align=right| 0\nPerlis FA is the club founded in 1963 and is currently suspended from FIFA:\nPerlis Football Association ( Malay : Persatuan Bolasepak Perlis ) , also known as Perlis FA , is a football team based in Kangar , Perlis , Malaysia . The team was founded in 1963 and currently suspended from FIFA by playing in the second division of Malaysian football , the 2019 Malaysia Premier League . Year 2019 is the first ever Perlis did not enter any tournament in Malaysian League since 1963 ."",
 ""answer"": [
  ""Defender""
 ]
}
```",Defender,"Defender 
",defender,defender,100.0,100.0
