,Unnamed: 0,index,question,response,answer,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
0,0,0,What TV shows was Shagun Sharma seen in 2019?,"evidence: |
  The relevant rows contain information about Shagun Sharma's roles in 2019:
  Year | Title | Role | Channel
  2019 | Laal Ishq | Pernia | &TV
  2019 | Vikram Betaal Ki Rahasya Gatha | Rukmani/Kashi | &TV
  2019 | Shaadi Ke Siyape | Dua | &TV
answer: |
  In 2019, Shagun Sharma was seen in Laal Ishq as Pernia, Vikram Betaal Ki Rahasya Gatha as Rukmani/Kashi, and Shaadi Ke Siyape as Dua.","In 2019, Shagun Sharma played in the roles as Pernia in Laal Ishq, Vikram Betaal Ki Rahasya Gatha as Rukmani/Kashi and Shaadi Ke Siyape as Dua.","'Laal Ishq', 'Vikram Betaal Ki Rahasya Gatha', 'Shaadi Ke Siyape' 
","in 2019, shagun sharma played in the roles as pernia in laal ishq, vikram betaal ki rahasya gatha as rukmani/kashi and shaadi ke siyape as dua","laal ishq', 'vikram betaal ki rahasya gatha', 'shaadi ke siyape",57.14285714285715,0.0
1,1,1,What were the voting results of the 1975 North Vietnamese legislative election with regards to seats?,"evidence: |
  The relevant row contains information about the 1975 North Vietnamese legislative election results regarding seats:
  Party | Votes | % | Seats
  Vietnamese Fatherland Front | 10,561,314 | 100 | 424
  Invalid/blank votes | 105,807 | – | –
  Total | 10,667,121 | 100 | 424
answer: |
  In the 1975 North Vietnamese legislative election, the Vietnamese Fatherland Front secured 424 seats.","In the 1975 North Vietnamese legislative election, the Vietnamese Fatherland Front won all 424 seats.","424 seats 
","in the 1975 north vietnamese legislative election, the vietnamese fatherland front won all 424 seats",424 seats,26.66666666666667,0.0
2,2,2,What roles did Christian Cooke play in 2009?,"evidence: |
  The relevant rows contain information about Christian Cooke's roles in 2009:
  Title | Year | Role | Notes
  Demons | 2009 | Luke Rutherford-Van Helsing | Main role
  Trinity | 2009 | Lord Dorian Gaudain | Main role
answer: |
  In 2009, Christian Cooke played Luke Rutherford-Van Helsing in Demons and Lord Dorian Gaudain in Trinity.","During 2009, Christian Cooke played the lead role of Luke Rutherford in Demons & Lord Dorian Gaudain in Trinity.","Luke Rutherford-Van Helsing, Lord Dorian Gaudain 
","during 2009, christian cooke played the lead role of luke rutherford in demons & lord dorian gaudain in trinity","luke rutherford-van helsing, lord dorian gaudain",34.78260869565218,0.0
3,3,3,When and in which club and league did Kazunari Okayama start his career?,"evidence: |
  The relevant row contains information about Kazunari Okayama's career start:
  Season | Club | League | Apps | Goals
  1997 | Yokohama Marinos | J1 League | 8 | 3
answer: |
  Kazunari Okayama started his career in 1997 with Yokohama Marinos in the J1 League.",Kazunari Okayama joined J1 League club Yokohama Marinos (later Yokohama F. Marinos) in 1997.,"1997, Yokohama Marinos, J1 League 
",kazunari okayama joined j1 league club yokohama marinos (later yokohama f. marinos) in 1997,"1997, yokohama marinos, j1 league",52.63157894736842,0.0
4,4,4,Who set the fastest average in Megaminx?,"evidence: |
  The relevant row contains information about the fastest average in Megaminx:
  Name | Fastest average | Competition
  Yu Da-Hyun (유다현) | 32.03s | CWR Winter 2018
answer: |
  Yu Da-Hyun (유다현) set the fastest average in Megaminx with a time of 32.03 seconds at the CWR Winter 2018.",The 32.03 seconds average of five solves is set by Yu Da-Hyun (유다현) at CWR Winter 2018.,"Yu Da-Hyun (유다현) 
",the 32.03 seconds average of 5 solves is set by yu da-hyun (유다현) at cwr winter 2018,yu da-hyun (유다현),31.57894736842105,0.0
5,5,5,What seasons did Faye appear for Hull City?,"evidence: |
  The relevant rows contain information about Abdoulaye Faye's appearances for Hull City:
  Club | Season | Division | Apps | Goals 
  Hull City | 2012–13 | Championship | 31 | 4 
  Hull City | 2013–14 | Premier League | 3 | 0 
answer: |
  Abdoulaye Faye appeared for Hull City during the 2012–13 season in the Championship and the 2013–14 season in the Premier League.",Faye appeared for Hull City in the 2012–13 and 2013–14 seasons.,"['2012–13', '2013–14'] 
",faye appeared for hull city in the 2012-13 and 2013-14 seasons,"['2012-13', '2013-14']",33.333333333333336,0.0
6,6,6,Who's the winner of the championship and who is in the second place?,"evidence: |
  The relevant rows contain information about the results of the 1922 Open Championship:
  Place | Player | Country | Score
  1 | Walter Hagen | United States | 76-73=149
  T2 | Jim Barnes | England | 75-76=151
  T2 | George Duncan | Scotland | 76-75=151
  T2 | J.H. Taylor | England | 73-78=151
answer: |
  The winner of the championship is Walter Hagen, and the players tied for second place are Jim Barnes, George Duncan, and J.H. Taylor.","Walter Hagen was the leader at 149, two strokes ahead of Jim Barnes, George Duncan and J.H. Taylor.","Walter Hagen, Jim Barnes, George Duncan, J.H. Taylor 
","walter hagen was the leader at 149, 2 strokes ahead of jim barnes, george duncan and j.h. taylor","walter hagen, jim barnes, george duncan, j.h. taylor",63.99999999999999,0.0
7,7,7,What significant career achievement did Yu make in 2011?,"evidence: |
  The relevant rows contain information about Yu Zheng's achievements in 2011:
  Year | Work | Award | Category | Result
  2011 | Palace | Grand Ceremony of Movie & TV New Forces | Most Popular Screenwriter | Won
  2011 | Palace | 16th Asian Television Awards | Best Screenwriter | Won
  2011 | Palace | Youku Film and Television Award | Screenwriter Award | Won
answer: |
  In 2011, Yu Zheng achieved significant recognition by winning multiple awards for his work on Palace, including Most Popular Screenwriter at the Grand Ceremony of Movie & TV New Forces, Best Screenwriter at the 16th Asian Television Awards, and Screenwriter Award at the Youku Film and Television Award.","In 2011 Yu was noted for Palace, which earned him a Best Screenwriter award at the 16th Asian Television Awards.","Most Popular Screenwriter, Best Screenwriter, Screenwriter Award 
","in 2011 yu was noted for palace, which earned him a best screenwriter award at the 16 asian television awards","most popular screenwriter, best screenwriter, screenwriter award",24.0,0.0
8,8,8,How's Huang Yu-ting doing in the 2009 World Games?,"evidence: |
  The relevant rows contain information about Huang Yu-ting's performance in the 2009 World Games:
  Event | Gold | Silver | Bronze
  Women's 300 m time trial | Huang Yu-ting, Chinese Taipei | Hsu Chiao-jen, Chinese Taipei | Lim Jin-seon, South Korea
  Women's 500 m sprint | Huang Yu-ting, Chinese Taipei | Lim Jin-seon, South Korea | Jercy Puello, Colombia
  Women's 1000 m sprint | Huang Yu-ting, Chinese Taipei | Hsu Chiao-jen, Chinese Taipei | Nicole Begg, New Zealand
answer: |
  Huang Yu-ting performed outstandingly at the 2009 World Games, winning gold in the Women's 300 m time trial, the Women's 500 m sprint, and the Women's 1000 m sprint.","As an inline speed skater, Huang won three gold medals at the 2009 World Games in Chinese Taipei: 300 m time trial, 500 m sprint, and 1000 m sprint.","Gold in all three events 
","as an inline speed skater, huang won 3 gold medals at the 2009 world games in chinese taipei: 300 m time trial, 500 m sprint, and 1000 m sprint",gold in all 3 events,18.750000000000004,0.0
9,9,9,"When did Art Howe coach the Yale Bulldogs, and what was his overall record with the team?","evidence: |
  The relevant row contains information about Art Howe's coaching record with the Yale Bulldogs:
  Year | Team | Overall | Conference | Standing | Bowl/playoffs
  1912 | Yale | 7–1–1 | - | - | -
answer: |
  Art Howe coached the Yale Bulldogs in 1912, and his overall record with the team was 7 wins, 1 loss, and 1 tie (7–1–1).",Howe led the Yale football team as head coach for one year (1912) and compiled a 7–1–1 record.,"1912, 7-1-1 
",howe led the yale football team as head coach for 1 year (1912) and compiled a 7-1-1 record,"1912, 7-1-1",22.22222222222222,0.0
