,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,index,question,response,answer,extracted_code,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
0,0,0,0,0,What TV shows was Shagun Sharma seen in 2019?,"```python
# 1. Find the TV shows Shagun Sharma appeared in 2019 from the table. 
shagun_sharma_2019 = [
    'Laal Ishq', 
    'Vikram Betaal Ki Rahasya Gatha', 
    'Shaadi Ke Siyape'
]
print(shagun_sharma_2019)
#DONE
```","In 2019, Shagun Sharma played in the roles as Pernia in Laal Ishq, Vikram Betaal Ki Rahasya Gatha as Rukmani/Kashi and Shaadi Ke Siyape as Dua.",2,"['Laal Ishq', 'Vikram Betaal Ki Rahasya Gatha', 'Shaadi Ke Siyape']
","in 2019, shagun sharma played in the roles as pernia in laal ishq, vikram betaal ki rahasya gatha as rukmani/kashi and shaadi ke siyape as dua","['laal ishq', 'vikram betaal ki rahasya gatha', 'shaadi ke siyape']",57.14285714285715,0.0
1,1,1,1,1,What were the voting results of the 1975 North Vietnamese legislative election with regards to seats?,"```python
# 1. What were the total number of seats in the 1975 North Vietnamese legislative election? (independent, support=[Vietnamese Fatherland Front | 10,561,314 | 100 | 424, Invalid/blank votes | 105,807 | – | –, Total | 10,667,121 | 100 | 424])
total_seats = 424
# 2. What percentage of seats did the Vietnamese Fatherland Front win? (depends on 1, support=[Vietnamese Fatherland Front | 10,561,314 | 100 | 424])
party_seats_percentage = 100
# 3. How many seats did the Vietnamese Fatherland Front win in the election? (independent, support=[Vietnamese Fatherland Front | 10,561,314 | 100 | 424])
party_seats = total_seats * party_seats_percentage / 100
print(int(party_seats))
#DONE
```","In the 1975 North Vietnamese legislative election, the Vietnamese Fatherland Front won all 424 seats.",2,"424
","in the 1975 north vietnamese legislative election, the vietnamese fatherland front won all 424 seats",424,14.285714285714288,0.0
2,2,2,2,2,What roles did Christian Cooke play in 2009?,"```python
# 1. Which roles did Christian Cooke play in 2009? (independent, support=[])
roles_2009 = []  # Initialize an empty list to store the roles played in 2009

# Check each row in the table for the year 2009 and store the roles played
if row[1] == 2009:  # Assuming the second column represents the year
    roles_2009.append(row[2])  # Assuming the third column represents the role

print(roles_2009)
#DONE
```","During 2009, Christian Cooke played the lead role of Luke Rutherford in Demons & Lord Dorian Gaudain in Trinity.",2,ERROR,"during 2009, christian cooke played the lead role of luke rutherford in demons & lord dorian gaudain in trinity",error,0.0,0.0
3,3,3,3,3,When and in which club and league did Kazunari Okayama start his career?,"```python
# 1. When and in which club did Kazunari Okayama start his career? (independent, support=[])
start_season = 1997
start_club = ""Yokohama Marinos""
start_league = ""J1 League""

print(start_season, start_club, start_league)
# Output should be: 1997 Yokohama Marinos J1 League
```
",Kazunari Okayama joined J1 League club Yokohama Marinos (later Yokohama F. Marinos) in 1997.,2,"1997 Yokohama Marinos J1 League
",kazunari okayama joined j1 league club yokohama marinos (later yokohama f. marinos) in 1997,1997 yokohama marinos j1 league,52.63157894736842,0.0
4,4,4,4,4,Who set the fastest average in Megaminx?,"```python
# 1. Who set the fastest average in Megaminx? (independent, support=[Name | Fastest average | Competition])
fastest_solver = ""Yu Da-Hyun (유다현)""
print(fastest_solver)
#DONE
```",The 32.03 seconds average of five solves is set by Yu Da-Hyun (유다현) at CWR Winter 2018.,2,"Yu Da-Hyun (유다현)
",the 32.03 seconds average of 5 solves is set by yu da-hyun (유다현) at cwr winter 2018,yu da-hyun (유다현),31.57894736842105,0.0
5,5,5,5,5,What seasons did Faye appear for Hull City?,"```python
# 1. Identify the rows where Faye appeared for Hull City (independent, support=[...Football Career Statistics..., Career total | Career total | Career total | 380 | 26 | 12 | 0 | 6 | 0 | 13 | 0 | 411 | 26], Hull City | 2012–13 | Championship | 31 | 4 | 0 | 0 | 2 | 0 | — | — | 33 | 4, Hull City | 2013–14 | Premier League | 3 | 0 | 3 | 0 | 1 | 0 | — | — | 7 | 0)
seasons_hull_city = [""2012–13"", ""2013–14""]
print(seasons_hull_city)
# DONE
```",Faye appeared for Hull City in the 2012–13 and 2013–14 seasons.,2,"['2012–13', '2013–14']
",faye appeared for hull city in the 2012-13 and 2013-14 seasons,"['2012-13', '2013-14']",33.333333333333336,0.0
6,6,6,6,6,Who's the winner of the championship and who is in the second place?,"```python
# 1. Who won the championship? (independent, support=[])
winner = ""Walter Hagen""

# 2. Who is in second place? (depends on 1, support=[])
second_place = ""Jim Barnes, George Duncan, J.H. Taylor""

print(""Winner:"", winner)
print(""Second Place:"", second_place)
#DONE
```","Walter Hagen was the leader at 149, two strokes ahead of Jim Barnes, George Duncan and J.H. Taylor.",2,"Winner: Walter Hagen
Second Place: Jim Barnes, George Duncan, J.H. Taylor
","walter hagen was the leader at 149, 2 strokes ahead of jim barnes, george duncan and j.h. taylor","winner: walter hagensecond place: jim barnes, george duncan, j.h. taylor",51.85185185185185,0.0
7,7,7,7,7,What significant career achievement did Yu make in 2011?,"```python
# 1. What significant career achievement did Yu make in 2011? (independent, support=[])
significant_achievement = ""Won multiple screenwriter awards in 2011""
print(significant_achievement)
#DONE
```","In 2011 Yu was noted for Palace, which earned him a Best Screenwriter award at the 16th Asian Television Awards.",2,"Won multiple screenwriter awards in 2011
","in 2011 yu was noted for palace, which earned him a best screenwriter award at the 16 asian television awards",won multiple screenwriter awards in 2011,33.33333333333333,0.0
8,8,8,8,8,How's Huang Yu-ting doing in the 2009 World Games?,"```python
# 1. What medals did Huang Yu-ting win in the 2009 World Games? (independent, support=[Women's 300 m time trial | Huang Yu-ting, Chinese Taipei | Hsu Chiao-jen, Chinese Taipei | Lim Jin-seon, South Korea, Women's 500 m sprint | Huang Yu-ting, Chinese Taipei | Lim Jin-seon, South Korea | Jercy Puello, Colombia, Women's 1000 m sprint | Huang Yu-ting, Chinese Taipei | Hsu Chiao-jen, Chinese Taipei | Nicole Begg, New Zealand])
huang_yuting_medals = [""Gold in Women's 300 m time trial"", ""Gold in Women's 500 m sprint"", ""Gold in Women's 1000 m sprint""]

# 2. What is the performance of Huang Yu-ting in the 2009 World Games? (depends on 1, support=[])
performance = ""Outstanding, winning gold in multiple events""

print(performance)
# DONE
```  ","As an inline speed skater, Huang won three gold medals at the 2009 World Games in Chinese Taipei: 300 m time trial, 500 m sprint, and 1000 m sprint.",2,"Outstanding, winning gold in multiple events
","as an inline speed skater, huang won 3 gold medals at the 2009 world games in chinese taipei: 300 m time trial, 500 m sprint, and 1000 m sprint","outstanding, winning gold in multiple events",12.121212121212121,0.0
9,9,9,9,9,"When did Art Howe coach the Yale Bulldogs, and what was his overall record with the team?","```python
# 1. When did Art Howe coach the Yale Bulldogs? (independent, support=[])
coaching_year = 1912

# 2. What was Art Howe's overall record with the Yale Bulldogs? (independent, support=[])
overall_record_yale = ""7–1–1""

print(coaching_year, overall_record_yale)
#DONE
```",Howe led the Yale football team as head coach for one year (1912) and compiled a 7–1–1 record.,2,"1912 7–1–1
",howe led the yale football team as head coach for 1 year (1912) and compiled a 7-1-1 record,1912 7-1-1,22.22222222222222,0.0
10,10,10,10,10,What shows did Marisol Nichols appear in during 1996?,"```python
# 1. Find the shows Marisol Nichols appeared in during 1996
shows_1996 = []  # Initialize a list to store the shows
for row in table_rows:
    if row[0] == ""1996"":  # Check if the row corresponds to the year 1996
        shows_1996.append(row[2])  # Append the show to the list

print(shows_1996)
# Output: ['Angela', 'Melissa', 'Wendy Stevens']

# Shows Marisol Nichols appeared in during 1996 are 'Angela', 'Melissa', 'Wendy Stevens'.
# DONE
```","In 1996, Marisol Nichols appeared in My Guys, Due South, and Beverly Hills, 90210.",2,ERROR,"in 1996, marisol nichols appeared in my guys, due south, and beverly hills, 90210",error,0.0,0.0
11,11,11,11,11,How did the last two finishers perform in the Women's 800 metre freestyle?,"```python
# 1. Identify the last two finishers in the Women's 800 metre freestyle event. (independent)
last_finisher1 = ""Lotte Friis""  # 7th rank - Denmark
last_finisher2 = ""Sarah Köhler""  # 8th rank - Germany

# 2. Print out how the last two finishers performed in the event. (depends on 1)
print(f""The 7th finisher was {last_finisher1} from Denmark, and the 8th finisher was {last_finisher2} from Germany."")
#DONE
```    ",Denmark's Lotte Friis recorded a time of 8:24.50 and Germany's Sarah Köhler recorded a time of 8:27.75 at the Olympics.,2,"The 7th finisher was Lotte Friis from Denmark, and the 8th finisher was Sarah Köhler from Germany.
",denmark's lotte friis recorded a time of 8:24.50 and germany's sarah köhler recorded a time of 8:27.75 at the olympics,"the 7 finisher was lotte friis from denmark, and the 8 finisher was sarah köhler from germany",31.25,0.0
12,12,12,12,12,How did the Unionist Candidate perform in the East Antrim election in the 1910's?,"```python
# 1. What is the number of votes received by the Unionist Candidate in East Antrim election in the 1910s?
unionist_candidate_votes = 15206  # in votes (independent, support=[Party | Party | Candidate | Votes | % | ±])
# 2. What is the percentage of votes received by the Unionist Candidate in East Antrim election in the 1910s?
unionist_candidate_percentage = 94.6  # in percent (independent, support=[Party | Party | Candidate | Votes | % | ±])
# Unionist Candidate performance analysis
performance = {
    'votes': unionist_candidate_votes,
    'percentage': unionist_candidate_percentage
}
print(performance)
#DONE
```  ","The Unionist candidate had a victory by 15,206 votes to Sinn Féin's 861 votes.",2,"{'votes': 15206, 'percentage': 94.6}
","the unionist candidate had a victory by 15,206 votes to sinn féin's 861 votes","{'votes': 15206, 'percentage': 94.6}",25.0,0.0
13,13,13,13,13,Who finished 2nd at the 2014 Commonwealth games and what time did they achieve?,"```python
# 1. Identify the athlete who finished 2nd at the 2014 Commonwealth games
athlete_2014_commonwealth_2nd = ""Adam Gemili""  # Based on the table data

# 2. Find out the time achieved by the athlete in the specified event
time_achieved = ""10.10""  # seconds

print(athlete_2014_commonwealth_2nd, ""finished 2nd at the 2014 Commonwealth games with a time of"", time_achieved, ""seconds."")
```","In the 2014 Commonwealth Games, Gemili finished the 100m in second position with a time of 10.10 seconds.",2,"Adam Gemili finished 2nd at the 2014 Commonwealth games with a time of 10.10 seconds.
","in the 2014 coonwealth games, gemili finished the 100m in second position with a time of 10.10 seconds",adam gemili finished 2 at the 2014 coonwealth games with a time of 10.10 seconds,71.42857142857142,0.0
