Unnamed: 0.1,Unnamed: 0,index,question,response,answer,extracted_code,output,conv_actual_answer,conv_predicted_answer,f1_score,exact
0,0,0,what is the net change in net revenue during 2015 for entergy corporation?,"```python
# 1. What was the net revenue in 2014? (independent, support=[])
net_revenue_2014 = 5735
# 2. What were the changes in net revenue components in 2015? (independent, support=[2014 net revenue | $ 5735, 2015 net revenue | $ 5829])
retail_electric_price = 187
volume_weather = 95
waterford_provision = -32
miso_deferral = -35
louisiana_credits = -107
other_changes = -14
# 3. What is the total change in net revenue during 2015? (depends on 1 and 2, support=[])
total_change = retail_electric_price + volume_weather + waterford_provision + miso_deferral + louisiana_credits + other_changes
# 4. What is the net revenue in 2015? (independent, support=[])
net_revenue_2015 = 5829
# 5. What is the net change in net revenue during 2015 for entergy corporation? (depends on 1, 3, and 4, support=[])
net_change = net_revenue_2015 - net_revenue_2014
print(net_change)
#DONE
```",94,2,"94
",94.0,94.0,100.0,100.0
1,1,1,what is the percentage change in cash flow hedges in 2011 compare to the 2010?,"```python
# 1. What is the gain on swaps in 2010?
gain_on_swaps_2010 = 4614  # in dollars (independent, support=[statement of income classification | statement of income loss on swaps | statement of income gain on note | statement of income net income effect | statement of income gain on swaps | loss on note | net income effect])

# 2. What is the loss on swaps in 2011?
loss_on_swaps_2011 = 4614  # in dollars (independent, support=[statement of income classification | statement of income loss on swaps | statement of income gain on note | statement of income net income effect | statement of income gain on swaps | loss on note | net income effect])

# 3. What is the net income effect in 2010?
net_income_effect_2010 = 2014  # in dollars (independent, support=[statement of income classification | statement of income loss on swaps | statement of income gain on note | statement of income net income effect | statement of income gain on swaps | loss on note | net income effect])

# 4. What is the net income effect in 2011?
net_income_effect_2011 = 2014  # in dollars (independent, support=[statement of income classification | statement of income loss on swaps | statement of income gain on note | statement of income net income effect | statement of income gain on swaps | loss on note | net income effect])

# 5. What is the percentage change in cash flow hedges in 2011 compared to 2010?
percentage_change = ((loss_on_swaps_2011 - gain_on_swaps_2010) / net_income_effect_2010) * 100
print(percentage_change)
#DONE
```",9.9%,2,"0.0
",0.099,0.0,0.0,0.0
2,2,2,what was the difference in percentage cumulative total shareholder return on masco common stock versus the s&p 500 index for the five year period ended 2017?,"```python
# 1. What was the value of Masco common stock in 2012?
masco_2012 = 100  # initial investment value in dollars (independent, support=[])

# 2. What was the value of Masco common stock in 2017?
masco_2017 = 318.46  # value in dollars (independent, support=[])

# 3. What was the value of S&P 500 index in 2012?
sp500_2012 = 100  # initial investment value in dollars (independent, support=[])

# 4. What was the value of S&P 500 index in 2017?
sp500_2017 = 206.49  # value in dollars (independent, support=[])

# 5. What was the cumulative total shareholder return on Masco common stock for the five year period?
masco_return = ((masco_2017 - masco_2012) / masco_2012) * 100

# 6. What was the cumulative total shareholder return on S&P 500 index for the five year period?
sp500_return = ((sp500_2017 - sp500_2012) / sp500_2012) * 100

# 7. What was the difference in percentage cumulative total shareholder return on Masco common stock versus S&P 500 index for the five year period ended 2017?
difference_return = masco_return - sp500_return

print(difference_return)
#DONE
```",,2,"111.96999999999996
",,111.96999999999996,0.0,0.0
3,3,3,"what was the percentage change in total rental expense under operating leases from july 2 , 2005 to july 1 , 2006?","```python
# 1. What was the total rental expense under operating leases on July 2, 2005?
total_rental_expense_2005 = 92710000  # in dollars (independent, support=[total rental expense under operating leases was $ 100690000 , $ 92710000 , and $ 86842000 in fiscal 2006 , 2005 and 2004])
# 2. What was the total rental expense under operating leases on July 1, 2006?
total_rental_expense_2006 = 100690000  # in dollars (independent, support=[total rental expense under operating leases was $ 100690000 , $ 92710000 , and $ 86842000 in fiscal 2006 , 2005 and 2004])
# 3. What was the percentage change in total rental expense under operating leases from July 2, 2005 to July 1, 2006? (depends on 1 and 2, support=[])
percentage_change = ((total_rental_expense_2006 - total_rental_expense_2005) / total_rental_expense_2005) * 100
print(percentage_change)
# DONE
```",7%,2,"8.6074857081221
",0.07,8.6074857081221,0.0,0.0
4,4,4,what percentage of future minimum rental payments are due in 2018?,"```python
# What is the total future minimum rental payment?
total_payments = 2575

# What is the future minimum rental payment due in 2018?
payment_2018 = 301

# What percentage of future minimum rental payments are due in 2018?
percentage_2018 = (payment_2018 / total_payments) * 100
print(percentage_2018)
#DONE
```",12%,2,"11.689320388349515
",0.12,11.689320388349515,0.0,0.0
5,5,5,what was the change in unrecognized tax benefits from the end of 2014 to the end of 2015?,"```python
# 1. What was the unrecognized tax benefits at the end of 2014?
unrecognized_tax_end_2014 = 1171  # in millions (independent, support=[balance january 1 | $ 1171 | $ 1701 | $ 1573, balance december 31 | $ 1136 | $ 1171 | $ 1701])

# 2. What was the unrecognized tax benefits at the end of 2015?
unrecognized_tax_end_2015 = 1136  # in millions (independent, support=[balance january 1 | $ 1171 | $ 1701 | $ 1573, balance december 31 | $ 1136 | $ 1171 | $ 1701])

# 3. What was the change in unrecognized tax benefits from the end of 2014 to the end of 2015? (depends on 1 and 2, support=[])
change_in_tax_benefits = unrecognized_tax_end_2015 - unrecognized_tax_end_2014
print(change_in_tax_benefits)
# DONE
```",-35,2,"-35
",-35.0,-35.0,100.0,100.0
6,6,6,what is the growth rate in the balance of standby letters of credit from 2006 to 2007?,"```python
# 1. What is the balance of standby letters of credit in 2006? (independent, support=[standby letters of credit | 4711 | 4926, (in millions) | 2007 | 2006])
standby_credit_2006 = 4926

# 2. What is the balance of standby letters of credit in 2007? (independent, support=[standby letters of credit | 4711 | 4926, (in millions) | 2007 | 2006])
standby_credit_2007 = 4711

# 3. What is the growth rate in the balance of standby letters of credit from 2006 to 2007? (depends on 1 and 2, support=[])
growth_rate = ((standby_credit_2007 - standby_credit_2006) / standby_credit_2006) * 100
print(growth_rate)
#DONE
```",-4.4%,2,"-4.364596021112464
",-0.044000000000000004,-0.044000000000000004,100.0,100.0
7,7,7,what portion of the total noncancelable future lease commitments are due in fiscal year of 2019?,"```python
# 1. What is the total noncancelable future lease commitments?
total_lease_commitments = 559.3  # in millions (independent, support=[total noncancelable future lease commitments | $ 559.3 | $ 0.5, in millions | operating leases | capital leases])

# 2. What portion of the total commitments are due in fiscal year 2019?
commitments_2019 = 137.4  # in millions (independent, support=[in millions | operating leases | capital leases])
portion_2019 = commitments_2019 / total_lease_commitments * 100

print(portion_2019)
#DONE
```",24.6%,2,"24.566422313606296
",0.24600000000000002,0.24600000000000002,100.0,100.0
8,8,8,was the five year total return of the 2019 peer group greater than the 2018 peer group?,"```python
# 1. What was the five-year cumulative total return of the 2019 peer group?
return_2019_peer_group = 281.09  # in percentage (independent, support=[2019 peer group | 100.00 | 126.23 | 142.94 | 166.15 | 224.73 | 281.09])

# 2. What was the five-year cumulative total return of the 2018 peer group?
return_2018_peer_group = 286.22  # in percentage (independent, support=[2018 peer group | 100.00 | 127.40 | 151.16 | 177.26 | 228.97 | 286.22])

# 3. Was the five year total return of the 2019 peer group greater than the 2018 peer group? (depends on 1 and 2, support=[])
if return_2019_peer_group > return_2018_peer_group:
    ans = True
else:
    ans = False
print(ans)
# DONE
```",no,2,"False
",no,false,0.0,0.0
9,9,9,what was the percentage change in deferred tax assets and regulatory assets from 2013 to 2014,"```python
# 1. What was the deferred tax assets and regulatory assets amount at December 31, 2013?
assets_2013 = 6241  # in millions (independent, support=[...amounting to $ 6348 and $ 6241 at December 31, 2014 and 2013])
# 2. What was the deferred tax assets and regulatory assets amount at December 31, 2014?
assets_2014 = 6348  # in millions (independent, support=[...amounting to $ 6348 and $ 6241 at December 31, 2014 and 2013])
# 3. What was the change in deferred tax assets and regulatory assets from 2013 to 2014?
change_assets = assets_2014 - assets_2013
# 4. What was the percentage change in deferred tax assets and regulatory assets from 2013 to 2014?
percentage_change_assets = (change_assets / assets_2013) * 100
print(percentage_change_assets)
#DONE
```",1.7%,2,"1.7144688351225765
",0.017,0.017,100.0,100.0
10,10,10,"what was the average net annual change in discounted future net cash flows ( in millions ) for the years 2011 , 2010 , and 2009?","```python
# 1. What was the average net annual change in discounted future net cash flows in 2011?
net_change_2011 = 4648  # in millions (independent, support=[net change for the year | 4648 | 3625 | 1620])
# 2. What was the average net annual change in discounted future net cash flows in 2010?
net_change_2010 = 3625  # in millions (independent, support=[net change for the year | 4648 | 3625 | 1620])
# 3. What was the average net annual change in discounted future net cash flows in 2009?
net_change_2009 = 1620  # in millions (independent, support=[net change for the year | 4648 | 3625 | 1620])
# 4. What is the average net annual change in discounted future net cash flows for the years 2011, 2010, and 2009? (depends on 1, 2, and 3, support=[])
average_net_change = (net_change_2011 + net_change_2010 + net_change_2009) / 3
print(average_net_change)
#DONE
```",3298,2,"3297.6666666666665
",3298,3297.6666666666665,0.0,0.0
11,11,11,what was the average net revenue between 2016 and 2017 in millions,"```python
# 1. What was the net revenue in 2016? (independent, support=[2016 net revenue | $ 705.4, 2017 net revenue | $ 703.1])
net_revenue_2016 = 705.4
# 2. What was the net revenue in 2017? (independent, support=[2016 net revenue | $ 705.4, 2017 net revenue | $ 703.1])
net_revenue_2017 = 703.1
# 3. What is the average net revenue between 2016 and 2017 in millions? (depends on 1 and 2, support=[])
avg_net_revenue = (net_revenue_2016 + net_revenue_2017) / 2
print(avg_net_revenue)
#DONE
```",704.25,2,"704.25
",704.25,704.25,100.0,100.0
12,12,12,the combined amount of accrued interest and penalties related to tax positions taken on our tax returns and included in non-current income taxes payable was what percent of the total ending balance as of november 28 2008?,"```python
# 1. What is the total ending balance as of November 28, 2008? (independent, support=[ending balance as of november 28 2008 | $ 139549])
total_ending_balance = 139549

# 2. What is the combined amount of accrued interest and penalties related to tax positions taken on tax returns and included in non-current income taxes payable? (independent, support=[gross increases in unrecognized tax benefits 2013 prior year tax positions, gross increases in unrecognized tax benefits 2013 current year tax positions])
accrued_interest_penalties = 14009 + 11350

# 3. What is the percentage of accrued interest and penalties related to tax positions compared to the total ending balance? (depends on 1 and 2, support=[])
percentage = (accrued_interest_penalties / total_ending_balance) * 100

print(percentage)
# DONE
```",11.0%,2,"18.17211158804434
",0.11,18.17211158804434,0.0,0.0
13,13,13,"in 2010 and 2009 , what was the total fair value in billions of assets segregated for the benefit of securities and futures brokerage customers?","```python
# 1. What was the fair value of assets segregated for the benefit of securities and futures brokerage customers in 2010?
fair_value_2010 = 24859  # in millions (independent, support=[year ended december 31 ( in millions ) | 2010 | 2009 | 2008])
# 2. Convert the fair value from millions to billions for 2010
fair_value_2010_billion = fair_value_2010 / 1000
# 3. What was the fair value of assets segregated for the benefit of securities and futures brokerage customers in 2009?
fair_value_2009 = 16067  # in millions (independent, support=[year ended december 31 ( in millions ) | 2010 | 2009 | 2008])
# 4. Convert the fair value from millions to billions for 2009
fair_value_2009_billion = fair_value_2009 / 1000
# 5. Print the total fair value in billions of assets segregated for the benefit of securities and futures brokerage customers in 2010 and 2009
print(fair_value_2010_billion + fair_value_2009_billion)
#DONE
```",68.9,2,"40.926
",68.9,40.926,0.0,0.0
